,Unnamed: 0,Codigo,Disciplina,Turma,Vagas Ofe,Dia,Horario,Docente,Inicio,Fim
44,44,ARQ029,HISTORIA DO URBANISMO E DO PLANEJAMENTO URBANO,020000,30,TER,13:00 às 14:50,Elyane Lins Correa,13:00,14:50
45,45,ARQ029,HISTORIA DO URBANISMO E DO PLANEJAMENTO URBANO,020000,30,QUI,13:00 às 14:50,Elyane Lins Correa,13:00,14:50
46,46,ARQ030,CONFORTO AMBIENTAL II,010000,30,QUI,10:40 às 12:30,Carolina Nascimento Vieira,10:40,12:30
47,47,ARQ030,CONFORTO AMBIENTAL II,020000,30,TER,16:40 às 18:30,Carolina Nascimento Vieira,16:40,18:30
48,48,ARQ032,HISTORIA E.TEORIA DA ARQUITETURA .BRASILEIRA,010100,30,TER,08:50 às 10:40,Luiz Antonio Fernandes Cardoso,08:50,10:40
49,49,ARQ032,HISTORIA E.TEORIA DA ARQUITETURA .BRASILEIRA,010100,30,QUI,08:50 às 10:40,Luiz Antonio Fernandes Cardoso,08:50,10:40
50,50,ARQ032,HISTORIA E.TEORIA DA ARQUITETURA .BRASILEIRA,020200,30,TER,14:50 às 16:40,Docente não informado pelo Departamento,14:50,16:40
51,51,ARQ032,HISTORIA E.TEORIA DA ARQUITETURA .BRASILEIRA,020200,30,QUI,14:50 às 16:40,Docente não informado pelo Departamento,14:50,16:40
52,52,ARQ033,SISTEMAS ESTRUTURAIS I-A,010100,30,SEG,07:00 às 08:50,Rita Dione Araujo Cunha,07:00,08:50
53,53,ARQ033,SISTEMAS ESTRUTURAIS I-A,010100,30,QUA,07:00 às 08:50,Rita Dione Araujo Cunha,07:00,08:50
54,54,ARQ033,SISTEMAS ESTRUTURAIS I-A,010100,30,SEX,07:00 às 08:50,Rita Dione Araujo Cunha,07:00,08:50
55,55,ARQ033,SISTEMAS ESTRUTURAIS I-A,020200,30,SEG,13:00 às 14:50,Rita Dione Araujo Cunha,13:00,14:50
56,56,ARQ033,SISTEMAS ESTRUTURAIS I-A,020200,30,QUA,13:00 às 14:50,Rita Dione Araujo Cunha,13:00,14:50
57,57,ARQ033,SISTEMAS ESTRUTURAIS I-A,020200,30,SEX,13:00 às 14:50,Rita Dione Araujo Cunha,13:00,14:50
58,58,ARQ034,CONFORTO AMBIENTAL III,010000,33,QUI,08:50 às 10:40,Carolina Nascimento Vieira,08:50,10:40
59,59,ARQ034,CONFORTO AMBIENTAL III,020000,33,TER,14:50 às 16:40,Carolina Nascimento Vieira,14:50,16:40
60,60,ARQ035,INFORMATICA APLICADA A ARQUITETURA E. URBANISMO II,010100,20,SEG,08:50 às 10:40,Fabiano Mikalauskas de Souza Nogueira,08:50,10:40
61,61,ARQ035,INFORMATICA APLICADA A ARQUITETURA E. URBANISMO II,010100,20,QUA,08:50 às 10:40,Fabiano Mikalauskas de Souza Nogueira,08:50,10:40
62,62,ARQ035,INFORMATICA APLICADA A ARQUITETURA E. URBANISMO II,020200,20,SEG,13:00 às 14:50,Fabiano Mikalauskas de Souza Nogueira,13:00,14:50
63,63,ARQ035,INFORMATICA APLICADA A ARQUITETURA E. URBANISMO II,020200,20,QUA,13:00 às 14:50,Fabiano Mikalauskas de Souza Nogueira,13:00,14:50
64,64,ARQ035,INFORMATICA APLICADA A ARQUITETURA E. URBANISMO II,030300,20,TER,08:50 às 10:40,Andrea Verri Bastian,08:50,10:40
65,65,ARQ035,INFORMATICA APLICADA A ARQUITETURA E. URBANISMO II,030300,20,QUI,08:50 às 10:40,Andrea Verri Bastian,08:50,10:40
66,66,ARQ035,INFORMATICA APLICADA A ARQUITETURA E. URBANISMO II,040400,20,TER,10:40 às 12:30,Andrea Verri Bastian,10:40,12:30
67,67,ARQ035,INFORMATICA APLICADA A ARQUITETURA E. URBANISMO II,040400,20,QUI,10:40 às 12:30,Andrea Verri Bastian,10:40,12:30
68,68,ARQ036,TECNICAS RETROSPECTIVAS,010100,30,TER,10:40 às 12:30,Mariely Cabral de Santana,10:40,12:30
69,69,ARQ036,TECNICAS RETROSPECTIVAS,010100,30,QUI,10:40 às 12:30,Mariely Cabral de Santana,10:40,12:30
70,70,ARQ036,TECNICAS RETROSPECTIVAS,020200,30,TER,16:40 às 18:30,Mariely Cabral de Santana,16:40,18:30
71,71,ARQ036,TECNICAS RETROSPECTIVAS,020200,30,QUI,16:40 às 18:30,Mariely Cabral de Santana,16:40,18:30
72,72,ARQ037,SISTEMAS ESTRUTURAIS II-A,010100,30,SEG,07:00 às 08:50,Rosana Munoz,07:00,08:50
73,73,ARQ037,SISTEMAS ESTRUTURAIS II-A,010100,30,QUA,07:00 às 08:50,Rosana Munoz,07:00,08:50
74,74,ARQ037,SISTEMAS ESTRUTURAIS II-A,010100,30,SEX,07:00 às 08:50,Rosana Munoz,07:00,08:50
75,75,ARQ037,SISTEMAS ESTRUTURAIS II-A,020200,30,SEG,13:00 às 14:50,Luiz Alberto Araujo de Seixas Leal,13:00,14:50
76,76,ARQ037,SISTEMAS ESTRUTURAIS II-A,020200,30,QUA,13:00 às 14:50,Luiz Alberto Araujo de Seixas Leal,13:00,14:50
77,77,ARQ037,SISTEMAS ESTRUTURAIS II-A,020200,30,SEX,13:00 às 14:50,Luiz Alberto Araujo de Seixas Leal,13:00,14:50
78,78,ARQ038,INSTALACOES I,010100,30,TER,08:50 às 10:40,Jose Antonio Ribeiro de Lima,08:50,10:40
79,79,ARQ038,INSTALACOES I,010100,30,QUI,08:50 às 09:45,Jose Antonio Ribeiro de Lima,08:50,09:45
80,80,ARQ038,INSTALACOES I,020200,30,TER,14:50 às 16:40,Jose Antonio Ribeiro de Lima,14:50,16:40
81,81,ARQ038,INSTALACOES I,020200,30,QUI,14:50 às 15:45,Jose Antonio Ribeiro de Lima,14:50,15:45
82,82,ARQ039,INSTALACOES II,010100,30,TER,10:40 às 12:30,Jose Antonio Ribeiro de Lima,10:40,12:30
83,83,ARQ039,INSTALACOES II,010100,30,QUI,10:40 às 11:35,Jose Antonio Ribeiro de Lima,10:40,11:35
84,84,ARQ039,INSTALACOES II,020200,30,TER,16:40 às 18:30,Jose Antonio Ribeiro de Lima,16:40,18:30
85,85,ARQ039,INSTALACOES II,020200,30,QUI,16:40 às 17:35,Jose Antonio Ribeiro de Lima,16:40,17:35
86,86,ARQ040,ORGANIZACAO DO TRABALHO,000100,30,QUI,08:50 às 10:40,Luciana Calixto Lima,08:50,10:40
87,87,ARQ040,ORGANIZACAO DO TRABALHO,000200,30,QUI,13:00 às 14:50,Luciana Calixto Lima,13:00,14:50
88,88,ARQ043,ESTAGIO CURRICULAR,000100,33,SEG,07:00 às 10:40,Guivaldo D Alexandria Baptista,07:00,10:40
89,89,ARQ043,ESTAGIO CURRICULAR,000100,33,CMB,00:00 às 00:00,Guivaldo D Alexandria Baptista,00:00,00:00
90,90,ARQ043,ESTAGIO CURRICULAR,000200,33,TER,13:00 às 16:40,Guivaldo D Alexandria Baptista,13:00,16:40
91,91,ARQ043,ESTAGIO CURRICULAR,000200,33,CMB,00:00 às 00:00,Guivaldo D Alexandria Baptista,00:00,00:00
92,92,ARQ044,INTRODUCAO AO TRABALHO FINAL DE GRADUACAO,010100,15,QUA,08:50 às 10:40,Aline de Figueiroa Silva,08:50,10:40
93,94,ARQ044,INTRODUCAO AO TRABALHO FINAL DE GRADUACAO,020200,5,QUA,18:30 às 20:20,Aline de Figueiroa Silva,18:30,20:20
94,96,ARQ045,TRABALHO FINAL DE GRADUACAO,000100,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
95,97,ARQ045,TRABALHO FINAL DE GRADUACAO,000200,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
96,98,ARQ045,TRABALHO FINAL DE GRADUACAO,000300,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
97,99,ARQ045,TRABALHO FINAL DE GRADUACAO,000400,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
98,100,ARQ045,TRABALHO FINAL DE GRADUACAO,000500,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
99,101,ARQ045,TRABALHO FINAL DE GRADUACAO,000600,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
100,102,ARQ045,TRABALHO FINAL DE GRADUACAO,000700,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
101,103,ARQ045,TRABALHO FINAL DE GRADUACAO,000800,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
102,104,ARQ045,TRABALHO FINAL DE GRADUACAO,000900,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
103,105,ARQ045,TRABALHO FINAL DE GRADUACAO,001000,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
104,106,ARQ045,TRABALHO FINAL DE GRADUACAO,001100,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
105,107,ARQ045,TRABALHO FINAL DE GRADUACAO,001200,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
106,108,ARQ045,TRABALHO FINAL DE GRADUACAO,001300,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
107,109,ARQ045,TRABALHO FINAL DE GRADUACAO,001400,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
108,110,ARQ045,TRABALHO FINAL DE GRADUACAO,001500,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
109,111,ARQ045,TRABALHO FINAL DE GRADUACAO,001600,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
110,112,ARQ045,TRABALHO FINAL DE GRADUACAO,001700,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
111,113,ARQ045,TRABALHO FINAL DE GRADUACAO,001800,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
112,114,ARQ045,TRABALHO FINAL DE GRADUACAO,001900,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
113,115,ARQ045,TRABALHO FINAL DE GRADUACAO,002000,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
114,116,ARQ045,TRABALHO FINAL DE GRADUACAO,002100,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
115,117,ARQ045,TRABALHO FINAL DE GRADUACAO,002200,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
116,118,ARQ045,TRABALHO FINAL DE GRADUACAO,002300,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
117,119,ARQ045,TRABALHO FINAL DE GRADUACAO,002400,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
118,120,ARQ045,TRABALHO FINAL DE GRADUACAO,002500,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
119,121,ARQ045,TRABALHO FINAL DE GRADUACAO,002600,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
120,122,ARQ045,TRABALHO FINAL DE GRADUACAO,002700,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
121,123,ARQ045,TRABALHO FINAL DE GRADUACAO,002800,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
122,124,ARQ045,TRABALHO FINAL DE GRADUACAO,002900,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
123,125,ARQ045,TRABALHO FINAL DE GRADUACAO,003000,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
124,126,ARQ045,TRABALHO FINAL DE GRADUACAO,003100,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
125,127,ARQ045,TRABALHO FINAL DE GRADUACAO,003200,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
126,128,ARQ045,TRABALHO FINAL DE GRADUACAO,003300,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
127,129,ARQ045,TRABALHO FINAL DE GRADUACAO,003400,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
128,130,ARQ045,TRABALHO FINAL DE GRADUACAO,003500,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
129,131,ARQ045,TRABALHO FINAL DE GRADUACAO,003600,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
130,132,ARQ045,TRABALHO FINAL DE GRADUACAO,003700,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
131,133,ARQ045,TRABALHO FINAL DE GRADUACAO,003800,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
132,134,ARQ045,TRABALHO FINAL DE GRADUACAO,003900,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
133,135,ARQ045,TRABALHO FINAL DE GRADUACAO,004000,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
134,136,ARQ045,TRABALHO FINAL DE GRADUACAO,004100,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
135,137,ARQ045,TRABALHO FINAL DE GRADUACAO,004200,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
136,138,ARQ045,TRABALHO FINAL DE GRADUACAO,004300,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
137,139,ARQ045,TRABALHO FINAL DE GRADUACAO,004400,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
138,140,ARQ045,TRABALHO FINAL DE GRADUACAO,004500,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento,00:00,23:00
139,141,ARQ046,ETICA,010000,30,TER,07:00 às 08:50,Guivaldo D Alexandria Baptista,07:00,08:50
140,142,ARQ046,ETICA,020000,30,SEG,13:00 às 14:50,Guivaldo D Alexandria Baptista,13:00,14:50
141,143,ARQ047,LABORATÓRIO DE CONFORTO AMBIENTAL I,000100,15,QUI,14:50 às 17:35,Tereza Maria Moura Freire,14:50,17:35
142,144,ARQ048,LABORATÓRIO DE CONFORTO AMBIENTAL II,000100,15,QUI,08:50 às 11:35,Tereza Maria Moura Freire,08:50,11:35
143,145,ARQ131,DESENHO ARQUITETONICO I,010100,2,SEG,07:55 às 12:30,Maria Paula Dunel,07:55,12:30
144,146,ARQ131,DESENHO ARQUITETONICO I,010100,2,QUA,07:55 às 12:30,Maria Paula Dunel,07:55,12:30
145,147,ARQ135,PROGRAMACAO VISUAL E OS ESPACOS URBANOS E ARQUITETONICOS,010100,10,SEG,07:00 às 08:50,Gabriela Gusmao Sampaio,07:00,08:50
146,148,ARQ135,PROGRAMACAO VISUAL E OS ESPACOS URBANOS E ARQUITETONICOS,010100,10,QUA,07:00 às 08:50,Gabriela Gusmao Sampaio,07:00,08:50
147,149,ARQ135,PROGRAMACAO VISUAL E OS ESPACOS URBANOS E ARQUITETONICOS,020200,10,SEG,14:50 às 16:40,Marcos Antonio Nunes Rodrigues,14:50,16:40
148,150,ARQ135,PROGRAMACAO VISUAL E OS ESPACOS URBANOS E ARQUITETONICOS,020200,10,QUA,14:50 às 16:40,Marcos Antonio Nunes Rodrigues,14:50,16:40
149,151,ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,010100,10,SAB,08:50 às 09:45,Andre Luiz Ferreira Lissonger,08:50,09:45
150,153,ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,020200,10,SAB,08:50 às 09:45,Nei Sousa Barreto,08:50,09:45
151,155,ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,030300,10,SEG,08:50 às 10:40,Jose Antonio Ribeiro de Lima,08:50,10:40
152,156,ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,030300,10,QUA,08:50 às 10:40,Jose Antonio Ribeiro de Lima,08:50,10:40
153,157,ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,040400,10,SEG,08:50 às 12:30,Rosana Munoz,08:50,12:30
154,158,ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,040400,10,CMB,00:00 às 00:00,Rosana Munoz,00:00,00:00
155,159,ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,050500,10,TER,10:40 às 12:30,Eduardo Parente Prado,10:40,12:30
156,160,ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,050500,10,QUI,10:40 às 12:30,Eduardo Parente Prado,10:40,12:30
157,161,ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,060600,1,QUA,18:30 às 22:10,Akemi Tahara,18:30,22:10
158,162,ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,060600,1,CMB,00:00 às 00:00,Akemi Tahara,00:00,00:00
159,163,ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,070700,1,QUA,18:30 às 22:10,Marcus Vinicius Augustus Fernandes Rocha,18:30,22:10
160,164,ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,070700,1,CMB,00:00 às 00:00,Marcus Vinicius Augustus Fernandes Rocha,00:00,00:00
161,165,ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,080800,1,TER,16:40 às 18:30,Ana Cecilia de Andrade Teixeira,16:40,18:30
162,166,ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,080800,1,QUI,16:40 às 18:30,Ana Cecilia de Andrade Teixeira,16:40,18:30
163,167,ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,090900,1,TER,16:40 às 18:30,Rodrigo Scheeren,16:40,18:30
164,168,ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,090900,1,QUI,16:40 às 18:30,Rodrigo Scheeren,16:40,18:30
165,169,ARQA16,DESENHO DE OBSERVAÇÃO,000300,10,SEG,14:50 às 18:30,Ida Matilde Pela,14:50,18:30
166,170,ARQB75,ATELIER DE PROJETO 2,010100,15,SEG,08:50 às 12:30,Valdinei Lopes do Nascimento,08:50,12:30
167,171,ARQB75,ATELIER DE PROJETO 2,010100,15,QUA,08:50 às 12:30,Valdinei Lopes do Nascimento,08:50,12:30
168,172,ARQB75,ATELIER DE PROJETO 2,010100,15,SEX,08:50 às 12:30,Valdinei Lopes do Nascimento,08:50,12:30
169,173,ARQB75,ATELIER DE PROJETO 2,020200,15,SEG,08:50 às 12:30,Docente não informado pelo Departamento,08:50,12:30
170,174,ARQB75,ATELIER DE PROJETO 2,020200,15,QUA,08:50 às 12:30,Docente não informado pelo Departamento,08:50,12:30
171,175,ARQB75,ATELIER DE PROJETO 2,020200,15,SEX,08:50 às 12:30,Docente não informado pelo Departamento,08:50,12:30
172,176,ARQB75,ATELIER DE PROJETO 2,030300,15,SEG,14:50 às 18:30,Leonardo Prazeres Veloso de Souza,14:50,18:30
173,177,ARQB75,ATELIER DE PROJETO 2,030300,15,QUA,14:50 às 18:30,Leonardo Prazeres Veloso de Souza,14:50,18:30
174,178,ARQB75,ATELIER DE PROJETO 2,030300,15,SEX,14:50 às 18:30,Leonardo Prazeres Veloso de Souza,14:50,18:30
175,179,ARQB75,ATELIER DE PROJETO 2,040400,15,SEG,14:50 às 18:30,Rafael Santos Camara,14:50,18:30
176,180,ARQB75,ATELIER DE PROJETO 2,040400,15,QUA,14:50 às 18:30,Rafael Santos Camara,14:50,18:30
177,181,ARQB75,ATELIER DE PROJETO 2,040400,15,SEX,14:50 às 18:30,Rafael Santos Camara,14:50,18:30
178,182,ARQB76,ATELIER DE PROJETO 3,010100,17,SEG,08:50 às 12:30,Marcos Antonio Nunes Rodrigues,08:50,12:30
179,183,ARQB76,ATELIER DE PROJETO 3,010100,17,QUA,08:50 às 12:30,Marcos Antonio Nunes Rodrigues,08:50,12:30
180,184,ARQB76,ATELIER DE PROJETO 3,010100,17,SEX,08:50 às 12:30,Marcos Antonio Nunes Rodrigues,08:50,12:30
181,185,ARQB76,ATELIER DE PROJETO 3,020200,17,SEG,08:50 às 12:30,Daniel Juracy Mellado Paz,08:50,12:30
182,186,ARQB76,ATELIER DE PROJETO 3,020200,17,QUA,08:50 às 12:30,Daniel Juracy Mellado Paz,08:50,12:30
183,187,ARQB76,ATELIER DE PROJETO 3,020200,17,SEX,08:50 às 12:30,Daniel Juracy Mellado Paz,08:50,12:30
184,188,ARQB76,ATELIER DE PROJETO 3,030300,17,SEG,08:50 às 12:30,Rodrigo Scheeren,08:50,12:30
185,189,ARQB76,ATELIER DE PROJETO 3,030300,17,QUA,08:50 às 12:30,Rodrigo Scheeren,08:50,12:30
186,190,ARQB76,ATELIER DE PROJETO 3,030300,17,SEX,08:50 às 12:30,Rodrigo Scheeren,08:50,12:30
187,191,ARQB76,ATELIER DE PROJETO 3,040400,17,SEG,08:50 às 12:30,Marcus Vinicius Augustus Fernandes Rocha,08:50,12:30
188,192,ARQB76,ATELIER DE PROJETO 3,040400,17,QUA,08:50 às 12:30,Marcus Vinicius Augustus Fernandes Rocha,08:50,12:30
189,193,ARQB76,ATELIER DE PROJETO 3,040400,17,SEX,08:50 às 12:30,Marcus Vinicius Augustus Fernandes Rocha,08:50,12:30
