Codigo,Disciplina,Turma,Vagas Ofe,Dia,Horario,Docente
ARQ027,HISTORIA DA ARQUITETURA E URBANISMO II,020200,30,TER,14:50 às 16:40,Ana Carolina de Souza Bierrenbach
ARQ027,HISTORIA DA ARQUITETURA E URBANISMO II,020200,30,QUI,14:50 às 16:40,Ana Carolina de Souza Bierrenbach
ARQ029,HISTORIA DO URBANISMO E DO PLANEJAMENTO URBANO,010000,30,TER,10:40 às 12:30,Elyane Lins Correa
ARQ029,HISTORIA DO URBANISMO E DO PLANEJAMENTO URBANO,010000,30,QUI,10:40 às 12:30,Elyane Lins Correa
ARQ029,HISTORIA DO URBANISMO E DO PLANEJAMENTO URBANO,020000,30,TER,13:00 às 14:50,Elyane Lins Correa
ARQ029,HISTORIA DO URBANISMO E DO PLANEJAMENTO URBANO,020000,30,QUI,13:00 às 14:50,Elyane Lins Correa
ARQ030,CONFORTO AMBIENTAL II,010000,30,QUI,10:40 às 12:30,Carolina Nascimento Vieira
ARQ030,CONFORTO AMBIENTAL II,020000,30,TER,16:40 às 18:30,Carolina Nascimento Vieira
ARQ032,HISTORIA E.TEORIA DA ARQUITETURA .BRASILEIRA,010100,30,TER,08:50 às 10:40,Luiz Antonio Fernandes Cardoso
ARQ032,HISTORIA E.TEORIA DA ARQUITETURA .BRASILEIRA,010100,30,QUI,08:50 às 10:40,Luiz Antonio Fernandes Cardoso
ARQ032,HISTORIA E.TEORIA DA ARQUITETURA .BRASILEIRA,020200,30,TER,14:50 às 16:40,Docente não informado pelo Departamento
ARQ032,HISTORIA E.TEORIA DA ARQUITETURA .BRASILEIRA,020200,30,QUI,14:50 às 16:40,Docente não informado pelo Departamento
ARQ033,SISTEMAS ESTRUTURAIS I-A,010100,30,SEG,07:00 às 08:50,Rita Dione Araujo Cunha
ARQ033,SISTEMAS ESTRUTURAIS I-A,010100,30,QUA,07:00 às 08:50,Rita Dione Araujo Cunha
ARQ033,SISTEMAS ESTRUTURAIS I-A,010100,30,SEX,07:00 às 08:50,Rita Dione Araujo Cunha
ARQ033,SISTEMAS ESTRUTURAIS I-A,020200,30,SEG,13:00 às 14:50,Rita Dione Araujo Cunha
ARQ033,SISTEMAS ESTRUTURAIS I-A,020200,30,QUA,13:00 às 14:50,Rita Dione Araujo Cunha
ARQ033,SISTEMAS ESTRUTURAIS I-A,020200,30,SEX,13:00 às 14:50,Rita Dione Araujo Cunha
ARQ034,CONFORTO AMBIENTAL III,010000,33,QUI,08:50 às 10:40,Carolina Nascimento Vieira
ARQ034,CONFORTO AMBIENTAL III,020000,33,TER,14:50 às 16:40,Carolina Nascimento Vieira
ARQ035,INFORMATICA APLICADA A ARQUITETURA E. URBANISMO II,010100,20,SEG,08:50 às 10:40,Fabiano Mikalauskas de Souza Nogueira
ARQ035,INFORMATICA APLICADA A ARQUITETURA E. URBANISMO II,010100,20,QUA,08:50 às 10:40,Fabiano Mikalauskas de Souza Nogueira
ARQ035,INFORMATICA APLICADA A ARQUITETURA E. URBANISMO II,020200,20,SEG,13:00 às 14:50,Fabiano Mikalauskas de Souza Nogueira
ARQ035,INFORMATICA APLICADA A ARQUITETURA E. URBANISMO II,020200,20,QUA,13:00 às 14:50,Fabiano Mikalauskas de Souza Nogueira
ARQ035,INFORMATICA APLICADA A ARQUITETURA E. URBANISMO II,030300,20,TER,08:50 às 10:40,Andrea Verri Bastian
ARQ035,INFORMATICA APLICADA A ARQUITETURA E. URBANISMO II,030300,20,QUI,08:50 às 10:40,Andrea Verri Bastian
ARQ035,INFORMATICA APLICADA A ARQUITETURA E. URBANISMO II,040400,20,TER,10:40 às 12:30,Andrea Verri Bastian
ARQ035,INFORMATICA APLICADA A ARQUITETURA E. URBANISMO II,040400,20,QUI,10:40 às 12:30,Andrea Verri Bastian
ARQ036,TECNICAS RETROSPECTIVAS,010100,30,TER,10:40 às 12:30,Mariely Cabral de Santana
ARQ036,TECNICAS RETROSPECTIVAS,010100,30,QUI,10:40 às 12:30,Mariely Cabral de Santana
ARQ036,TECNICAS RETROSPECTIVAS,020200,30,TER,16:40 às 18:30,Mariely Cabral de Santana
ARQ036,TECNICAS RETROSPECTIVAS,020200,30,QUI,16:40 às 18:30,Mariely Cabral de Santana
ARQ037,SISTEMAS ESTRUTURAIS II-A,010100,30,SEG,07:00 às 08:50,Rosana Munoz
ARQ037,SISTEMAS ESTRUTURAIS II-A,010100,30,QUA,07:00 às 08:50,Rosana Munoz
ARQ037,SISTEMAS ESTRUTURAIS II-A,010100,30,SEX,07:00 às 08:50,Rosana Munoz
ARQ037,SISTEMAS ESTRUTURAIS II-A,020200,30,SEG,13:00 às 14:50,Luiz Alberto Araujo de Seixas Leal
ARQ037,SISTEMAS ESTRUTURAIS II-A,020200,30,QUA,13:00 às 14:50,Luiz Alberto Araujo de Seixas Leal
ARQ037,SISTEMAS ESTRUTURAIS II-A,020200,30,SEX,13:00 às 14:50,Luiz Alberto Araujo de Seixas Leal
ARQ038,INSTALACOES I,010100,30,TER,08:50 às 10:40,Jose Antonio Ribeiro de Lima
ARQ038,INSTALACOES I,010100,30,QUI,08:50 às 09:45,Jose Antonio Ribeiro de Lima
ARQ038,INSTALACOES I,020200,30,TER,14:50 às 16:40,Jose Antonio Ribeiro de Lima
ARQ038,INSTALACOES I,020200,30,QUI,14:50 às 15:45,Jose Antonio Ribeiro de Lima
ARQ039,INSTALACOES II,010100,30,TER,10:40 às 12:30,Jose Antonio Ribeiro de Lima
ARQ039,INSTALACOES II,010100,30,QUI,10:40 às 11:35,Jose Antonio Ribeiro de Lima
ARQ039,INSTALACOES II,020200,30,TER,16:40 às 18:30,Jose Antonio Ribeiro de Lima
ARQ039,INSTALACOES II,020200,30,QUI,16:40 às 17:35,Jose Antonio Ribeiro de Lima
ARQ040,ORGANIZACAO DO TRABALHO,000100,30,QUI,08:50 às 10:40,Luciana Calixto Lima
ARQ040,ORGANIZACAO DO TRABALHO,000200,30,QUI,13:00 às 14:50,Luciana Calixto Lima
ARQ043,ESTAGIO CURRICULAR,000100,33,SEG,07:00 às 10:40,Guivaldo D Alexandria Baptista
ARQ043,ESTAGIO CURRICULAR,000100,33,CMB,00:00 às 00:00,Guivaldo D Alexandria Baptista
ARQ043,ESTAGIO CURRICULAR,000200,33,TER,13:00 às 16:40,Guivaldo D Alexandria Baptista
ARQ043,ESTAGIO CURRICULAR,000200,33,CMB,00:00 às 00:00,Guivaldo D Alexandria Baptista
ARQ044,INTRODUCAO AO TRABALHO FINAL DE GRADUACAO,010100,15,QUA,08:50 às 10:40,Aline de Figueiroa Silva
ARQ044,INTRODUCAO AO TRABALHO FINAL DE GRADUACAO,010100,15,QUA,10:40 às 11:35,Aline de Figueiroa Silva
ARQ044,INTRODUCAO AO TRABALHO FINAL DE GRADUACAO,020200,5,QUA,18:30 às 20:20,Aline de Figueiroa Silva
ARQ044,INTRODUCAO AO TRABALHO FINAL DE GRADUACAO,020200,5,QUA,20:20 às 21:15,Aline de Figueiroa Silva
ARQ045,TRABALHO FINAL DE GRADUACAO,000100,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,000200,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,000300,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,000400,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,000500,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,000600,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,000700,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,000800,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,000900,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,001000,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,001100,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,001200,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,001300,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,001400,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,001500,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,001600,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,001700,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,001800,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,001900,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,002000,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,002100,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,002200,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,002300,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,002400,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,002500,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,002600,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,002700,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,002800,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,002900,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,003000,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,003100,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,003200,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,003300,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,003400,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,003500,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,003600,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,003700,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,003800,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,003900,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,004000,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,004100,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,004200,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,004300,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,004400,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ045,TRABALHO FINAL DE GRADUACAO,004500,5,CMB,00:00 às 23:00,Docente não informado pelo Departamento
ARQ046,ETICA,010000,30,TER,07:00 às 08:50,Guivaldo D Alexandria Baptista
ARQ046,ETICA,020000,30,SEG,13:00 às 14:50,Guivaldo D Alexandria Baptista
ARQ047,LABORATÓRIO DE CONFORTO AMBIENTAL I,000100,15,QUI,14:50 às 17:35,Tereza Maria Moura Freire
ARQ048,LABORATÓRIO DE CONFORTO AMBIENTAL II,000100,15,QUI,08:50 às 11:35,Tereza Maria Moura Freire
ARQ131,DESENHO ARQUITETONICO I,010100,2,SEG,07:55 às 12:30,Maria Paula Dunel
ARQ131,DESENHO ARQUITETONICO I,010100,2,QUA,07:55 às 12:30,Maria Paula Dunel
ARQ135,PROGRAMACAO VISUAL E OS ESPACOS URBANOS E ARQUITETONICOS,010100,10,SEG,07:00 às 08:50,Gabriela Gusmao Sampaio
ARQ135,PROGRAMACAO VISUAL E OS ESPACOS URBANOS E ARQUITETONICOS,010100,10,QUA,07:00 às 08:50,Gabriela Gusmao Sampaio
ARQ135,PROGRAMACAO VISUAL E OS ESPACOS URBANOS E ARQUITETONICOS,020200,10,SEG,14:50 às 16:40,Marcos Antonio Nunes Rodrigues
ARQ135,PROGRAMACAO VISUAL E OS ESPACOS URBANOS E ARQUITETONICOS,020200,10,QUA,14:50 às 16:40,Marcos Antonio Nunes Rodrigues
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,010100,10,SAB,08:50 às 09:45,Andre Luiz Ferreira Lissonger
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,010100,10,SAB,09:45 às 12:30,Andre Luiz Ferreira Lissonger
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,020200,10,SAB,08:50 às 09:45,Nei Sousa Barreto
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,020200,10,SAB,09:45 às 12:30,Nei Sousa Barreto
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,030300,10,SEG,08:50 às 10:40,Jose Antonio Ribeiro de Lima
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,030300,10,QUA,08:50 às 10:40,Jose Antonio Ribeiro de Lima
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,040400,10,SEG,08:50 às 12:30,Rosana Munoz
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,040400,10,CMB,00:00 às 00:00,Rosana Munoz
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,050500,10,TER,10:40 às 12:30,Eduardo Parente Prado
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,050500,10,QUI,10:40 às 12:30,Eduardo Parente Prado
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,060600,1,QUA,18:30 às 22:10,Akemi Tahara
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,060600,1,CMB,00:00 às 00:00,Akemi Tahara
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,070700,1,QUA,18:30 às 22:10,Marcus Vinicius Augustus Fernandes Rocha
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,070700,1,CMB,00:00 às 00:00,Marcus Vinicius Augustus Fernandes Rocha
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,080800,1,TER,16:40 às 18:30,Ana Cecilia de Andrade Teixeira
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,080800,1,QUI,16:40 às 18:30,Ana Cecilia de Andrade Teixeira
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,090900,1,TER,16:40 às 18:30,Rodrigo Scheeren
ARQ141,TÓPICOS DE ARQUITETURA E URBANISMO,090900,1,QUI,16:40 às 18:30,Rodrigo Scheeren
ARQA16,DESENHO DE OBSERVAÇÃO,000300,10,SEG,14:50 às 18:30,Ida Matilde Pela
ARQB75,ATELIER DE PROJETO 2,010100,15,SEG,08:50 às 12:30,Valdinei Lopes do Nascimento
ARQB75,ATELIER DE PROJETO 2,010100,15,QUA,08:50 às 12:30,Valdinei Lopes do Nascimento
ARQB75,ATELIER DE PROJETO 2,010100,15,SEX,08:50 às 12:30,Valdinei Lopes do Nascimento
ARQB75,ATELIER DE PROJETO 2,020200,15,SEG,08:50 às 12:30,Docente não informado pelo Departamento
ARQB75,ATELIER DE PROJETO 2,020200,15,QUA,08:50 às 12:30,Docente não informado pelo Departamento
ARQB75,ATELIER DE PROJETO 2,020200,15,SEX,08:50 às 12:30,Docente não informado pelo Departamento
ARQB75,ATELIER DE PROJETO 2,030300,15,SEG,14:50 às 18:30,Leonardo Prazeres Veloso de Souza
ARQB75,ATELIER DE PROJETO 2,030300,15,QUA,14:50 às 18:30,Leonardo Prazeres Veloso de Souza
ARQB75,ATELIER DE PROJETO 2,030300,15,SEX,14:50 às 18:30,Leonardo Prazeres Veloso de Souza
ARQB75,ATELIER DE PROJETO 2,040400,15,SEG,14:50 às 18:30,Rafael Santos Camara
ARQB75,ATELIER DE PROJETO 2,040400,15,QUA,14:50 às 18:30,Rafael Santos Camara
ARQB75,ATELIER DE PROJETO 2,040400,15,SEX,14:50 às 18:30,Rafael Santos Camara
ARQB76,ATELIER DE PROJETO 3,010100,17,SEG,08:50 às 12:30,Marcos Antonio Nunes Rodrigues
ARQB76,ATELIER DE PROJETO 3,010100,17,QUA,08:50 às 12:30,Marcos Antonio Nunes Rodrigues
ARQB76,ATELIER DE PROJETO 3,010100,17,SEX,08:50 às 12:30,Marcos Antonio Nunes Rodrigues
ARQB76,ATELIER DE PROJETO 3,020200,17,SEG,08:50 às 12:30,Daniel Juracy Mellado Paz
ARQB76,ATELIER DE PROJETO 3,020200,17,QUA,08:50 às 12:30,Daniel Juracy Mellado Paz
ARQB76,ATELIER DE PROJETO 3,020200,17,SEX,08:50 às 12:30,Daniel Juracy Mellado Paz
ARQB76,ATELIER DE PROJETO 3,030300,17,SEG,08:50 às 12:30,Rodrigo Scheeren
ARQB76,ATELIER DE PROJETO 3,030300,17,QUA,08:50 às 12:30,Rodrigo Scheeren
ARQB76,ATELIER DE PROJETO 3,030300,17,SEX,08:50 às 12:30,Rodrigo Scheeren
ARQB76,ATELIER DE PROJETO 3,040400,17,SEG,08:50 às 12:30,Marcus Vinicius Augustus Fernandes Rocha
ARQB76,ATELIER DE PROJETO 3,040400,17,QUA,08:50 às 12:30,Marcus Vinicius Augustus Fernandes Rocha
ARQB76,ATELIER DE PROJETO 3,040400,17,SEX,08:50 às 12:30,Marcus Vinicius Augustus Fernandes Rocha
ARQB76,ATELIER DE PROJETO 3,050500,17,SEG,14:50 às 18:30,Ceila Rosana Carneiro Cardoso
ARQB76,ATELIER DE PROJETO 3,050500,17,QUA,14:50 às 18:30,Ceila Rosana Carneiro Cardoso
ARQB76,ATELIER DE PROJETO 3,050500,17,SEX,14:50 às 18:30,Ceila Rosana Carneiro Cardoso
ARQB76,ATELIER DE PROJETO 3,060600,17,SEG,14:50 às 18:30,Jose Fernando Marinho Minho
ARQB76,ATELIER DE PROJETO 3,060600,17,QUA,14:50 às 18:30,Jose Fernando Marinho Minho
ARQB76,ATELIER DE PROJETO 3,060600,17,SEX,14:50 às 18:30,Jose Fernando Marinho Minho
ARQB76,ATELIER DE PROJETO 3,070700,17,SEG,14:50 às 18:30,Marcio Correia Campos
ARQB76,ATELIER DE PROJETO 3,070700,17,QUA,14:50 às 18:30,Marcio Correia Campos
ARQB76,ATELIER DE PROJETO 3,070700,17,SEX,14:50 às 18:30,Marcio Correia Campos
ARQB76,ATELIER DE PROJETO 3,080800,17,SEG,14:50 às 18:30,Mauricio de Almeida Chagas
ARQB76,ATELIER DE PROJETO 3,080800,17,QUA,14:50 às 18:30,Mauricio de Almeida Chagas
ARQB76,ATELIER DE PROJETO 3,080800,17,SEX,14:50 às 18:30,Mauricio de Almeida Chagas
ARQB78,ATELIER DE PROJETO 5,010100,15,SEG,08:50 às 12:30,Neilton Dorea Rodrigues de Oliveira
ARQB78,ATELIER DE PROJETO 5,010100,15,QUA,08:50 às 12:30,Neilton Dorea Rodrigues de Oliveira
ARQB78,ATELIER DE PROJETO 5,010100,15,SEX,08:50 às 12:30,Neilton Dorea Rodrigues de Oliveira
ARQB78,ATELIER DE PROJETO 5,020200,17,SEG,08:50 às 12:30,Lorena Souza Saab
ARQB78,ATELIER DE PROJETO 5,020200,17,QUA,08:50 às 12:30,Lorena Souza Saab
ARQB78,ATELIER DE PROJETO 5,020200,17,SEX,08:50 às 12:30,Lorena Souza Saab
ARQB78,ATELIER DE PROJETO 5,030300,15,SEG,14:50 às 18:30,Marcos Antonio Menezes Queiroz
ARQB78,ATELIER DE PROJETO 5,030300,15,QUA,14:50 às 18:30,Marcos Antonio Menezes Queiroz
ARQB78,ATELIER DE PROJETO 5,030300,15,SEX,14:50 às 18:30,Marcos Antonio Menezes Queiroz
ARQB78,ATELIER DE PROJETO 5,040400,15,SEG,14:50 às 18:30,Renata Lucena Gribel
ARQB78,ATELIER DE PROJETO 5,040400,15,QUA,14:50 às 18:30,Renata Lucena Gribel
ARQB78,ATELIER DE PROJETO 5,040400,15,SEX,14:50 às 18:30,Renata Lucena Gribel
ARQB80,ATELIER DE PROJETO 7,010100,15,SEG,08:50 às 12:30,Aline de Carvalho Luther
ARQB80,ATELIER DE PROJETO 7,010100,15,QUA,08:50 às 12:30,Aline de Carvalho Luther
ARQB80,ATELIER DE PROJETO 7,010100,15,SEX,08:50 às 12:30,Aline de Carvalho Luther
ARQB80,ATELIER DE PROJETO 7,020200,15,SEG,08:50 às 12:30,Beatriz Pinto Ulloa
ARQB80,ATELIER DE PROJETO 7,020200,15,QUA,08:50 às 12:30,Beatriz Pinto Ulloa
ARQB80,ATELIER DE PROJETO 7,020200,15,SEX,08:50 às 12:30,Beatriz Pinto Ulloa
ARQB80,ATELIER DE PROJETO 7,030300,15,SEG,14:50 às 18:30,Maria das Gracas Borja Gondim dos Santos
ARQB80,ATELIER DE PROJETO 7,030300,15,QUA,14:50 às 18:30,Maria das Gracas Borja Gondim dos Santos
ARQB80,ATELIER DE PROJETO 7,030300,15,SEX,14:50 às 18:30,Maria das Gracas Borja Gondim dos Santos
ARQB80,ATELIER DE PROJETO 7,040400,15,SEG,14:50 às 18:30,Docente Concursado
ARQB80,ATELIER DE PROJETO 7,040400,15,QUA,14:50 às 18:30,Docente Concursado
ARQB80,ATELIER DE PROJETO 7,040400,15,SEX,14:50 às 18:30,Docente Concursado
ARQB80,ATELIER DE PROJETO 7,050500,15,SEG,14:50 às 18:30,Naia Alban Suarez
